Date,K1,K13,K14,K18,K19,K27,K31,K32,K35,K36,K38,K39,K40,K41,K43,K44,K45,K47,K48,K49,K50,K51,K53,K54,K55,K56,K58,K7,K9
2010-10,1859.384888,1852.686768,1949.749023,1525.905273,1552.882935,1488.586792,1481.738037,1513.810791,1487.273193,1492.608521,1527.900635,1534.278076,1649.845825,1646.650269,1569.993164,1567.295898,1526.828247,1503.299683,1506.571045,1508.631226,1504.351318,1493.394531,1511.55188,1927.779297,1887.519287,1882.150879,1855.38147,1536.527466,1951.816895
2010-11,1855.349609,1850.45105,1942.431396,1524.30481,1549.178345,1488.203369,1480.367432,1517.062256,1487.276978,1495.203125,1525.786499,1532.518188,1647.568115,1648.075195,1572.335327,1569.045166,1527.222656,1504.10144,1506.445313,1510.024048,1502.833862,1492.339722,1511.307251,1921.931274,1888.965088,1885.092407,1855.21106,1534.494751,1951.574829
2010-12,1853.193481,1849.474121,1938.370361,1523.635376,1546.321533,1487.705933,1480.106934,1516.998535,1487.11084,1496.954712,1524.673828,1531.055908,1647.38501,1649.222412,1575.116455,1571.753784,1526.894043,1504.917969,1506.537231,1510.857422,1502.333374,1492.177979,1511.32019,1917.663452,1889.973145,1886.626465,1855.779053,1532.577271,1951.544067
2011-01,1851.64209,1848.741089,1935.727783,1523.199829,1544.360718,1487.241211,1480.444214,1515.675537,1486.866577,1497.788696,1523.81958,1529.786987,1647.825073,1650.004883,1577.259033,1573.991821,1526.210327,1505.443848,1506.668701,1511.288208,1502.001465,1492.117554,1511.211548,1914.862549,1890.571777,1887.55835,1856.656372,1530.917603,1951.056396
2011-03,1850.428589,1848.093018,1933.520142,1522.786133,1542.972778,1486.719604,1480.958496,1513.954224,1486.538208,1497.95166,1523.068237,1528.613525,1648.348267,1650.677002,1578.826538,1575.696655,1525.278809,1505.639038,1506.7146,1511.394165,1501.711426,1492.074829,1510.877319,1912.84021,1890.825562,1888.05542,1857.5448,1529.475098,1949.738403
2011-04,1848.468506,1846.40271,1931.507324,1522.361084,1541.854492,1486.06665,1481.343506,1511.078735,1486.142456,1497.289063,1521.75415,1527.425171,1648.55896,1649.61792,1578.398682,1575.40332,1523.848999,1505.300659,1506.220337,1510.877808,1500.685425,1491.210327,1510.126953,1911.126953,1890.637573,1888.041138,1857.713257,1528.078857,1947.838501
2011-05,1849.208496,1847.573486,1929.559082,1521.906006,1540.911499,1485.598755,1481.715088,1510.335938,1485.720825,1497.259521,1521.805908,1526.490967,1649.225098,1653.160034,1581.600342,1578.714355,1522.375977,1505.091553,1506.379028,1510.78064,1501.612183,1492.488403,1509.41272,1909.957275,1890.894165,1888.484741,1859.491943,1526.873657,1945.59436
2011-06,1846.254028,1844.635376,1927.693237,1521.434937,1540.158447,1484.862793,1481.833496,1506.610229,1485.256714,1495.84729,1520.070801,1525.348755,1649.044556,1649.8125,1578.773682,1575.978638,1520.686768,1504.176392,1505.457642,1509.671509,1499.679932,1490.606445,1508.250732,1908.463623,1890.204956,1887.871338,1858.787476,1525.627686,1943.21228
2011-07,1846.941406,1845.578003,1925.94873,1520.940552,1539.328857,1484.155273,1481.966797,1506.294312,1484.762817,1495.561279,1519.971924,1524.463989,1649.391479,1653.011963,1581.159668,1578.423706,1518.943115,1503.50061,1505.26416,1509.162842,1500.429565,1491.678711,1507.03772,1906.973755,1889.347778,1887.149292,1859.228638,1524.587769,1940.775513
2011-08,1847.270508,1846.541748,1924.122803,1520.441406,1538.513062,1482.733521,1481.897217,1504.749512,1484.248169,1495.145142,1520.135864,1522.873657,1650.177734,1656.703857,1584.405884,1580.227539,1515.442017,1501.965332,1504.892822,1507.998657,1500.851685,1492.84436,1504.552124,1904.284912,1888.463623,1886.393188,1859.809204,1523.611084,1938.338623
2011-10,1844.401245,1843.859131,1920.777222,1519.407715,1537.209595,1481.502563,1481.818726,1499.026245,1483.200317,1494.146362,1520.21582,1522.12207,1650.469238,1657.896973,1585.598633,1579.837524,1514.022339,1500.270386,1503.354004,1506.04187,1499.224609,1493.138062,1503.671509,1902.459106,1887.352539,1885.332397,1861.278809,1522.120483,1933.649536
2011-11,1842.564941,1841.91626,1919.475342,1518.598999,1536.402832,1481.374512,1481.614136,1497.254883,1482.490845,1491.592041,1517.83374,1520.520264,1649.699219,1652.574219,1580.36731,1577.704712,1512.171753,1499.423218,1502.10022,1504.841797,1497.861084,1489.855103,1502.011841,1902.895508,1887.986694,1886.157593,1861.690308,1520.900269,1930.466553
2011-12,1841.599243,1840.967163,1918.943604,1518.230225,1536.034546,1480.973145,1481.469116,1496.408447,1482.170654,1490.851807,1517.322388,1519.880127,1649.346191,1652.26001,1579.449219,1576.751343,1511.323364,1498.687866,1501.11438,1503.886353,1497.14978,1489.267822,1501.273193,1903.045532,1888.547607,1886.748413,1862.539429,1520.442139,1929.303589
2012-01,1840.579102,1840.014771,1917.98938,1517.836182,1535.605713,1480.468384,1481.191895,1495.47522,1481.779053,1490.135864,1516.898071,1519.261597,1648.901978,1651.735107,1578.46875,1575.712524,1510.359985,1497.943726,1500.249634,1502.99939,1496.422974,1488.646729,1500.493164,1902.799438,1888.721802,1886.952393,1863.075684,1520.004028,1928.060059
2012-03,1837.462891,1836.911377,1916.55835,1517.407715,1535.106812,1479.19519,1480.234253,1492.339844,1480.817017,1488.185547,1515.412231,1518.63562,1647.497559,1651.051514,1577.435181,1574.604248,1509.293701,1497.146606,1499.411377,1500.871216,1494.207397,1487.984375,1498.559814,1902.091187,1888.4552,1886.712524,1862.444092,1518.975342,1926.632813
2012-04,1838.080322,1837.730957,1913.841187,1516.58374,1533.904541,1478.763794,1479.757324,1492.442749,1480.354736,1487.897095,1515.679443,1517.541504,1647.220337,1651.004395,1576.506592,1573.507568,1506.534058,1495.383667,1497.764893,1500.251099,1494.755859,1487.272217,1497.658813,1900.509888,1887.773682,1886.12085,1863.366699,1518.457642,1923.769531
2012-05,1834.967285,1834.503052,1912.618408,1516.182251,1533.359985,1478.102783,1479.158691,1489.415405,1479.895874,1486.403198,1514.139038,1516.900024,1646.231689,1646.553955,1572.449829,1569.371582,1505.055786,1494.144653,1496.4104,1498.802124,1492.500732,1484.920654,1496.437622,1899.41394,1886.840698,1885.176147,1861.896606,1517.799438,1922.36853
2012-06,1835.592651,1835.291748,1911.88147,1515.806885,1532.709351,1477.598877,1478.768188,1489.92395,1479.498291,1486.184937,1514.228149,1516.53418,1645.946899,1648.866943,1573.95752,1570.798828,1503.619629,1493.308716,1495.903931,1498.098877,1493.026978,1485.631958,1495.293335,1898.514282,1886.035034,1884.442139,1861.913086,1517.293579,1921.152832
2012-07,1835.801636,1835.766235,1910.697144,1515.405029,1531.990112,1476.938721,1478.19751,1489.094238,1479.04541,1485.836792,1514.405151,1516.183716,1645.762939,1650.143677,1575.055176,1571.821899,1501.826416,1492.416992,1495.469727,1497.392822,1493.265015,1485.995728,1494.007935,1897.390503,1885.052002,1883.528442,1861.951782,1516.747681,1919.791992
2012-08,1835.893921,1836.132568,1909.67688,1514.99939,1531.368042,1476.415527,1477.765137,1488.587769,1478.608154,1485.495239,1514.661987,1515.851563,1645.643311,1651.106445,1576.087646,1572.791992,1500.697876,1491.644897,1495.147583,1496.781738,1493.402588,1486.23584,1492.992798,1896.490112,1884.388428,1882.922119,1862.268066,1516.351563,1918.454224
2012-09,1835.839478,1836.319702,1908.493652,1514.570313,1530.804932,1475.861938,1477.369751,1487.835449,1478.147339,1485.039185,1514.83667,1515.499634,1645.488159,1651.749268,1576.9729,1573.619629,1499.55957,1490.94519,1494.753662,1496.147827,1493.407959,1486.325439,1492.217163,1895.54541,1883.747681,1882.308228,1862.435425,1515.945435,1917.048096
2012-10,1833.109985,1833.495361,1907.391357,1514.168091,1530.341187,1475.378052,1476.814087,1484.910889,1477.713501,1483.598877,1513.596436,1514.954712,1644.668091,1647.724854,1573.672363,1570.275269,1499.029785,1489.976685,1493.476807,1494.873657,1491.353394,1484.164429,1491.456909,1894.903442,1883.393677,1881.935303,1861.613037,1515.506104,1915.748047
2012-11,1831.166626,1831.38916,1906.501587,1513.796631,1529.899414,1474.973877,1476.318481,1483.162842,1477.321655,1482.325928,1512.441406,1514.451172,1643.778809,1645.314819,1571.27124,1567.8302,1498.067871,1489.018799,1492.085449,1493.593018,1489.831299,1482.609497,1490.617798,1894.381714,1883.057495,1881.592529,1860.80481,1515.082642,1914.614258
2012-12,1830.161987,1830.322266,1905.454224,1513.421509,1529.460938,1474.579468,1475.807861,1482.434937,1476.914673,1481.449219,1511.871216,1514.032227,1643.016235,1644.581909,1570.207764,1566.71228,1497.352173,1488.240112,1491.015015,1492.611206,1489.027222,1481.842773,1489.895386,1893.788574,1882.694824,1881.229004,1860.378174,1514.733032,1913.485352
2013-01,1829.161377,1829.317749,1904.390991,1513.055054,1529.006348,1474.168091,1475.301636,1481.696289,1476.51062,1480.698242,1511.422607,1513.662964,1642.304443,1643.803589,1569.174927,1565.618896,1496.586548,1487.518555,1490.124878,1491.755493,1488.264038,1481.109619,1489.202759,1893.079224,1882.200073,1880.740845,1859.931274,1514.420654,1912.397095
2013-03,1828.175537,1828.352905,1903.385498,1512.702637,1527.993652,1473.766602,1474.8125,1479.152832,1476.119385,1478.952515,1511.016602,1513.330322,1641.628174,1640.627075,1565.738525,1564.565796,1495.805298,1486.828247,1489.33667,1489.863037,1486.120605,1478.938232,1487.631836,1891.439819,1881.664185,1879.408813,1859.4823,1514.126953,1910.360352
2013-05,1827.019043,1824.186768,1900.405884,1511.684082,1527.408325,1472.972168,1473.042114,1479.590454,1474.969604,1478.772827,1508.769165,1512.351929,1640.427124,1642.999634,1567.381226,1559.59375,1492.307251,1484.214355,1487.843628,1488.066406,1484.547363,1477.360596,1486.904541,1890.853394,1880.639648,1878.106812,1857.139648,1512.783081,1908.272217
2013-06,1824.762451,1825.061157,1899.533569,1511.33606,1526.224487,1471.94043,1472.537842,1477.461304,1474.589355,1477.147461,1508.832275,1512.157471,1639.092163,1640.90625,1564.92981,1561.086304,1491.028442,1483.466431,1486.146973,1487.45874,1485.130005,1478.081055,1484.821289,1888.622681,1878.337158,1876.963013,1856.601196,1512.347534,1907.195923
2013-07,1825.13623,1825.678101,1898.537842,1510.987793,1525.525513,1471.428345,1471.948242,1476.908813,1474.206787,1476.897949,1509.022461,1512.002197,1638.931763,1642.320923,1566.117188,1562.233032,1489.418823,1482.703125,1485.82251,1486.897949,1485.468262,1478.504517,1483.679199,1887.458496,1877.158203,1875.842651,1856.300293,1511.892822,1906.080078
2013-08,1825.398071,1826.197876,1897.647949,1510.630005,1524.916748,1471.013062,1471.49707,1476.625122,1473.834473,1476.649414,1509.294434,1511.847656,1638.850586,1643.436035,1567.247681,1563.334229,1488.471436,1482.052612,1485.615479,1486.431396,1485.714478,1478.81604,1482.789551,1886.51123,1876.307007,1875.036499,1856.306885,1511.575317,1904.956299
2013-09,1825.570435,1826.61084,1897.01001,1510.285278,1524.414185,1470.691772,1471.190674,1476.195801,1473.511108,1476.387695,1509.530029,1511.708008,1638.836792,1644.321167,1568.295166,1564.358521,1487.580078,1481.525269,1485.388794,1485.991211,1485.870361,1479.025879,1482.202271,1885.836426,1875.776489,1874.527466,1856.490234,1511.283813,1903.956299
2013-10,1822.991821,1823.949341,1896.027222,1509.928345,1523.970337,1470.28125,1470.640259,1473.428101,1473.150391,1475.038452,1508.319214,1511.318237,1638.110962,1640.41333,1565.112549,1561.161255,1487.263794,1480.689087,1484.259155,1484.874756,1483.923584,1476.941284,1481.580688,1885.226563,1875.338013,1874.05603,1855.501099,1510.917847,1902.883667
2013-11,1821.27478,1822.089355,1895.972168,1509.665283,1523.633545,1470.194946,1470.320679,1471.996338,1472.951904,1474.000244,1507.252808,1511.036255,1637.463501,1638.255371,1562.919922,1558.951172,1486.610718,1479.947021,1483.063477,1483.810547,1482.561523,1475.525269,1480.991943,1885.244507,1875.384033,1874.095093,1855.002808,1510.632935,1902.301514
2013-12,1820.471069,1821.237427,1895.389282,1509.366455,1523.26416,1469.946655,1469.901978,1471.521606,1472.68396,1473.274414,1506.735352,1510.786499,1636.874634,1637.726807,1562.021851,1558.018555,1486.148682,1479.342041,1482.138428,1483.0,1481.890991,1474.87207,1480.458496,1885.017944,1875.264648,1873.964111,1854.751709,1510.385864,1901.604736
2014-01,1819.727539,1820.510132,1895.150879,1509.108154,1522.921875,1469.814819,1469.574219,1471.12561,1472.47998,1472.761597,1506.379028,1510.616943,1636.411133,1637.224609,1561.198486,1557.151978,1485.692017,1478.838135,1481.425537,1482.35437,1481.291504,1474.28833,1480.013306,1884.944214,1875.268188,1873.971313,1854.750244,1510.20874,1901.124512
2014-03,1817.161865,1817.898315,1894.22229,1508.796631,1522.490845,1469.033447,1468.52002,1468.923218,1472.168091,1472.154053,1505.997803,1510.103882,1635.843018,1636.602905,1560.323853,1556.225586,1484.132324,1478.279907,1479.728271,1480.743286,1480.674072,1473.677612,1479.466187,1884.359619,1874.048584,1873.511108,1854.322632,1509.616577,1899.598022
2014-05,1818.112549,1819.009033,1892.404663,1507.909912,1521.425415,1468.852783,1467.474854,1469.564575,1471.283447,1471.077026,1505.308594,1509.722534,1634.859131,1632.574585,1559.728882,1555.531982,1483.182129,1477.022339,1479.46228,1479.229004,1477.994385,1473.140137,1477.215698,1882.202026,1872.919067,1871.620728,1853.711304,1509.287476,1898.766602
2014-06,1816.19397,1817.092651,1890.903198,1507.591919,1520.330322,1468.049805,1466.994629,1467.799316,1470.968384,1469.677124,1503.927002,1509.603149,1633.789185,1635.082153,1557.462158,1553.194946,1480.995483,1475.40686,1477.978882,1478.72229,1478.67334,1471.705444,1476.282959,1881.100464,1871.724121,1870.468018,1851.414551,1508.431519,1897.0979
2014-07,1816.731567,1817.853027,1889.929321,1507.270752,1519.655396,1467.615845,1466.431885,1467.436646,1470.64624,1469.512939,1504.135986,1509.516602,1633.720947,1636.655273,1558.747192,1554.446167,1479.509521,1474.735962,1477.750244,1478.268311,1479.114258,1472.220337,1475.24585,1879.944092,1870.51416,1869.310791,1851.023315,1508.015137,1896.112915
2014-08,1817.178223,1818.544434,1889.245972,1506.955811,1519.087891,1467.333984,1466.05188,1467.349121,1470.363159,1469.392456,1504.450073,1509.447388,1633.77002,1637.961304,1560.017822,1555.696167,1478.715698,1474.195557,1477.661255,1477.928467,1479.482178,1472.644043,1474.479126,1879.126587,1869.743896,1868.583618,1851.064209,1507.749878,1895.190796
2014-09,1817.479004,1819.068726,1888.371948,1506.613281,1518.577393,1466.997559,1465.718994,1467.018311,1470.055176,1469.159668,1504.688232,1509.3396,1633.80249,1638.953369,1561.170654,1556.834473,1477.903931,1473.724121,1477.521362,1477.572998,1479.726318,1472.929321,1473.939453,1878.278687,1869.025757,1867.877075,1851.011597,1507.467285,1894.178345
2014-10,1815.026123,1816.526978,1887.46228,1506.284058,1518.161621,1466.700195,1465.224121,1464.35791,1469.756958,1467.908813,1503.514648,1509.012695,1633.195557,1635.160156,1558.111328,1553.771851,1477.73877,1472.976807,1476.503662,1476.567383,1477.873657,1470.928101,1473.422729,1877.675903,1868.562744,1867.379517,1849.957397,1507.138672,1893.195313
2014-11,1813.339722,1814.673096,1886.856323,1505.991333,1517.78772,1466.520142,1464.820435,1462.883301,1469.517334,1466.811279,1502.41333,1508.719238,1632.542725,1632.997559,1555.937988,1551.598633,1477.118042,1472.243164,1475.331543,1475.52832,1476.523682,1469.518921,1472.838745,1877.266113,1868.193726,1866.990967,1848.981934,1506.830078,1892.395264
2014-12,1812.671875,1813.937256,1886.713257,1505.749512,1517.490479,1466.521118,1464.546387,1462.597168,1469.36792,1466.239014,1501.948486,1508.563721,1632.132813,1632.655029,1555.158447,1550.81543,1476.845093,1471.75415,1474.490723,1474.824829,1475.935425,1468.947388,1472.457642,1877.256226,1868.231323,1867.023804,1848.835205,1506.650146,1891.896118
2015-01,1811.954956,1813.207275,1886.010376,1505.468262,1517.122314,1466.285645,1464.152466,1462.188965,1469.137695,1465.676758,1501.561401,1508.385864,1631.673462,1632.171753,1554.32666,1549.96936,1476.430176,1471.261475,1473.773071,1474.190674,1475.34082,1468.359009,1472.021606,1876.834839,1867.888062,1866.671021,1848.431763,1506.455811,1891.233887
2015-03,1809.599243,1810.762695,1885.469849,1504.950317,1516.758545,1466.135254,1463.326416,1461.820313,1468.710815,1465.211182,1500.281128,1508.245239,1631.271606,1631.721191,1553.534424,1549.154541,1475.190674,1470.80835,1473.168213,1472.756104,1473.504272,1467.812012,1470.977051,1875.822388,1866.931396,1865.703735,1847.052002,1505.979614,1890.050781
2015-05,1807.853394,1809.01355,1883.11438,1504.672241,1515.32373,1465.70166,1462.879028,1458.496216,1468.473999,1463.108521,1500.606201,1507.701172,1630.524292,1627.937866,1553.014893,1544.521118,1473.360962,1469.704468,1472.001709,1471.346802,1472.194214,1467.355469,1469.614746,1874.38562,1865.681885,1865.576172,1845.726685,1505.68396,1889.311279
2015-06,1808.822876,1810.084839,1882.342896,1504.098755,1514.721924,1464.992188,1461.901855,1459.510132,1467.966309,1463.031616,1499.250854,1507.621826,1629.598145,1630.550293,1550.734253,1546.136841,1472.32019,1468.19873,1470.612671,1470.902954,1472.91626,1465.94104,1468.766602,1873.298828,1864.473145,1863.28894,1845.068237,1504.869263,1887.665527
2015-07,1809.439209,1810.925293,1881.435425,1503.802002,1514.076294,1464.628296,1461.392334,1459.305054,1467.70105,1462.953247,1499.484131,1507.573242,1629.614746,1632.238281,1552.055664,1547.465332,1470.92749,1467.603516,1470.447998,1470.527588,1473.420044,1466.517456,1467.813232,1872.166138,1863.258057,1862.125488,1844.64624,1504.481812,1886.746948
2015-08,1809.943359,1811.682251,1880.608887,1503.49292,1513.511841,1464.353882,1461.016602,1459.297363,1467.439819,1462.871582,1499.807373,1507.51709,1629.709106,1633.627319,1553.363281,1548.769043,1470.19519,1467.114624,1470.411377,1470.250244,1473.846191,1466.996704,1467.093262,1871.231079,1862.358643,1861.264893,1844.53833,1504.222656,1885.791626
2015-09,1810.325562,1812.297729,1879.803101,1503.174072,1513.026123,1464.104248,1460.738403,1459.098022,1467.186279,1462.726074,1500.077026,1507.443359,1629.828003,1634.74231,1554.603882,1550.001831,1469.479126,1466.718872,1470.353516,1469.984375,1474.170654,1467.361328,1466.630249,1870.395874,1861.629395,1860.547485,1844.462524,1503.964844,1884.825806
2015-10,1807.945313,1809.81189,1879.088745,1502.87915,1512.651123,1463.911377,1460.331787,1456.548828,1466.963867,1461.595215,1498.95459,1507.162842,1629.342285,1631.047974,1551.631714,1547.029907,1469.456787,1466.064209,1469.443481,1469.086914,1472.366577,1465.401978,1466.220581,1869.91394,1861.257935,1860.142822,1843.500366,1503.674927,1883.95813
2015-11,1806.276611,1807.93457,1878.309326,1502.587646,1512.281738,1463.713257,1459.932007,1455.098145,1466.739502,1460.521118,1497.858398,1506.871704,1628.735229,1628.898682,1549.471069,1544.779053,1468.908447,1465.377686,1468.331665,1468.107178,1471.032593,1463.989502,1465.687378,1869.387695,1860.769775,1859.62915,1842.388062,1503.369751,1883.110962
2015-12,1805.640991,1807.19104,1878.164917,1502.360962,1512.009155,1463.780518,1459.702026,1454.879883,1466.630737,1459.999634,1497.407471,1506.734619,1628.395264,1628.598999,1548.708618,1543.928955,1468.731934,1464.949463,1467.545288,1467.466309,1470.474731,1463.438232,1465.378418,1869.352661,1860.768433,1859.621948,1842.174194,1503.206543,1882.614502
2016-01,1804.973999,1806.479492,1877.629517,1502.109619,1511.684814,1463.644409,1459.388306,1454.579956,1466.469238,1459.525513,1497.052002,1506.592529,1628.034912,1628.182251,1547.903809,1543.026001,1468.438965,1464.537354,1466.891357,1466.908936,1469.925293,1462.889526,1465.039551,1869.034546,1860.500732,1859.345337,1841.824219,1503.045044,1882.040039
2016-02,1804.296387,1805.782715,1876.939819,1501.851685,1511.330688,1463.483154,1459.047241,1454.248535,1466.284912,1459.076294,1496.724731,1506.45166,1627.667969,1627.735718,1547.095337,1542.107056,1468.081299,1464.12793,1466.321289,1466.400757,1469.395264,1462.355713,1464.680054,1868.550293,1860.082275,1858.921753,1841.369995,1502.879395,1881.422974
